id,title,status,created
T-0001,"Add dry-run mode to litehive run",done,2026-03-31
T-0003,"Add shared adapter contract for external CLIs from codehive",done,2026-03-31
T-0004,"Add Gemini CLI adapter based on codehive",done,2026-03-31
T-0005,"Add Copilot CLI adapter based on codehive",done,2026-03-31
T-0006,"Add Claude adapter with quota guardrails",done,2026-03-31
T-0007,"Add task-pool loop runner",done,2026-03-31
T-0008,"Add task retry and failure policy",done,2026-03-31
T-0009,"Add pool stop conditions",done,2026-03-31
T-0010,"Add task dependencies",done,2026-03-31
T-0011,"Add task selection policies",done,2026-03-31
T-0012,"Add engine budget controls",done,2026-03-31
T-0013,"Add runner concurrency guardrails",done,2026-03-31
T-0014,"Add task recovery commands",done,2026-03-31
T-0015,"Add acceptance criteria enforcement",done,2026-03-31
T-0016,"Add pool summary reporting",done,2026-03-31
T-0017,"Add atomic queue state transitions",done,2026-03-31
T-0018,"Add human checkpoint tasks",done,2026-03-31
T-0019,"Add engine routing rules",done,2026-03-31
T-0020,"Add live run observability",done,2026-03-31
T-0021,"Add pool dry-run planning",done,2026-03-31
T-0022,"Add task templates",done,2026-03-31
T-0023,"Fix opencode adapter invocation",done,2026-03-31
T-0024,"Enforce commit and rollback checkpoints",done,2026-03-31
T-0025,"Add queue management CLI",done,2026-03-31
T-0026,"Add CommitToGit terminal stage",done,2026-03-31
T-0027,"Add quota and limit fallback routing",done,2026-03-31
T-0028,"Add runtime engine override",done,2026-03-31
T-0029,"Generalize multi-agent process profiles and init scaffolding",done,2026-03-31
T-0030,"Add dependency-aware task execution planning",done,2026-03-31
T-0031,"Support PM-created follow-up tasks during grooming and acceptance",done,2026-03-31
T-0032,"Add model override support for engine runs",done,2026-03-31
T-0033,"Add session PID visibility to live runs",done,2026-03-31
T-0034,"Add model-family retry mechanism for engine execution",done,2026-03-31
T-0035,"Add Codex retry policy",done,2026-03-31
T-0036,"Add OpenCode retry policy",done,2026-03-31
T-0037,"Add Gemini retry policy",done,2026-03-31
T-0038,"Add Claude retry policy",done,2026-03-31
T-0039,"Add freeform specification intake",done,2026-03-31
T-0040,"Add proper sandboxing for engine execution",done,2026-03-31
T-0041,"Stop pool on exhausted execution-limit fallbacks",done,2026-03-31
T-0042,"Preserve remaining queued tasks after pool stop",done,2026-03-31
T-0043,"Fix execution-limit fallback engine switching",done,2026-03-31
T-0044,"Add run-all shell wrapper that restarts litehive each iteration",done,2026-03-31
T-0045,"Add batch queue prioritization command",done,2026-03-31
T-0046,"Add simple web UI for queue and task monitoring",done,2026-03-31
T-0047,"Persist live subagent artifacts while running",done,2026-03-31
T-0048,"Make QA and PM rejection loop until acceptance",done,2026-03-31
T-0049,"Add cgroup resource limits for heavy native-code tasks",done,2026-03-31
T-0050,"Add enforced pre/post stage hooks",done,2026-03-31
T-0051,"Remove failed as a task lifecycle state",done,2026-03-31
T-0052,"Add explicit wont-do and deferred task outcomes",done,2026-03-31
T-0053,"Document and enforce the task state machine",done,2026-03-31
T-0054,"Make workspace locking granular during execution",done,2026-03-31
T-0055,"Add interrupted runner auto-recovery",done,2026-03-31
T-0056,"Add interrupted task outcome and resume flow",done,2026-03-31
T-0057,"Record runner and subagent interruption details",done,2026-03-31
T-0058,"Add custom pre-acceptance hook support for ruff check",done,2026-04-01
T-0059,"Make PM grooming auto-populate missing acceptance criteria when enough context exists",done,2026-04-01
T-0060,"Split single-task execution from pool execution and make pool drain explicit",done,2026-04-01
T-0061,"Prevent PM grooming from blocking on missing acceptance criteria when criteria can be inferred",done,2026-04-01
T-0062,"Keep rejected or interrupted tasks in the runnable pool instead of dropping them into sink states",done,2026-04-01
T-0063,"Auto-requeue tasks stranded at commit_to_git after runner interruption",done,2026-04-01
T-0064,"Allow adding and reprioritizing future tasks while a runner is active",done,2026-04-01
T-0065,"Enforce continue-or-rollback before unrelated work can proceed",done,2026-04-01
T-0066,"Auto-detect dirty worktree ownership for interrupted tasks",done,2026-04-01
T-0067,"Make commit_to_git idempotent and resumable",done,2026-04-01
T-0068,"Stop the pool when no remaining task can make useful progress",done,2026-04-01
T-0069,"Add queue hygiene command for stale active tasks and stranded stages",done,2026-04-01
T-0070,"Run task execution in git worktrees to keep the main repo clean",done,2026-04-01
T-0071,"Investigate and fix slow or hanging queue/status commands on large workspaces",done,2026-04-01
T-0073,"Add dirty-worktree gate command with task ownership explanation",done,2026-04-01
T-0074,"Add detailed commit_to_git diagnostics and failure classification",done,2026-04-01
T-0075,"Track task-to-worktree mapping as first-class execution state",done,2026-04-01
T-0076,"Add fast status mode using state-first reads",done,2026-04-01
T-0077,"Add structured PM task-edit actions during grooming",done,2026-04-01
T-0078,"Write explicit no-useful-progress stop reports for pool runs",done,2026-04-01
T-0079,"Create follow-up tasks automatically when PM finds scope contamination",done,2026-04-01
T-0080,"Prune or compress noisy execution artifacts while keeping durable evidence",done,2026-04-01
T-0082,"Make adding new tasks cheap and reliable during normal operation",done,2026-04-01
T-0083,"Add reliable runner status model with heartbeat and reconciliation",done,2026-04-01
T-0089,"Add shared live event schema for executor message capture and timelines",done,2026-04-01
T-0090,"Add shared inactivity timeout and automatic restart based on last captured event",done,2026-04-01
T-0091,"Add shared real-time event persistence and tail-friendly session logs",done,2026-04-01
T-0092,"Add Codex event adapter for shared live capture and restart semantics",done,2026-04-01
T-0093,"Add OpenCode event adapter for shared live capture and restart semantics",done,2026-04-01
T-0094,"Add Claude event adapter for shared live capture and restart semantics",done,2026-04-01
T-0095,"Add Gemini event adapter for shared live capture and restart semantics",done,2026-04-01
T-0096,"Add Copilot event adapter for shared live capture and restart semantics",done,2026-04-01
T-0097,"Add bubblewrap sandbox mode for lightweight local task execution",done,2026-04-01
T-0098,"Add stage duration and velocity estimation for task execution",done,2026-04-01
T-0099,"Add flow statistics and bottleneck reporting for pool runs",done,2026-04-01
T-0100,"Add PM complexity estimation and planned effort sizing for tasks",done,2026-04-01
T-0101,"Make run-all continue automatically after a task is requeued for another pass instead of stopping the iteration",done,2026-04-01
T-0102,"Fix commit_to_git failures caused by unrelated .litehive workspace state and queued task metadata changes",done,2026-04-01
T-0103,"Persist PM-generated acceptance criteria from grooming feedback even when not emitted as ACCEPTANCE_CRITERIA bullets",done,2026-04-01
T-0104,"Add schema-validated stage result submission API for agents",done,2026-04-01
T-0105,"Handle successful task completion without final commit by resuming the session and prompting the agent to finish commit_to_git",done,2026-04-01
T-0109,"Add agent-assisted merge conflict resolution for parallel worker integration",done,2026-04-01
T-0110,"Refresh engine inventory docs for Claude support",done,2026-04-01
T-0111,"Fix FOLLOW_UP_TASKS parsing for empty and valid JSON arrays in stage output",done,2026-04-01
T-0112,"Fix tasks_run accounting for single-task run-all wrapper iterations",done,2026-04-01
T-0113,"Add command to stop the current task cleanly",done,2026-04-01
T-0114,"Enforce QA and acceptance verification that final task commit exists and clean completion was recorded",done,2026-04-02
